id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
6aebf637-b66d-43c5-8a65-4c02d73ca73d,Dillon Francis - Hot Tub,Dillon Francis,Hot Tub,dillon-francis,hot-tub,"YungGravy,T-Pain,DillonFrancis",dillon-francis/hot-tub; yunggravy/hot-tub
146493fd-01c0-46ed-97ee-2265d23e4382,Dionnewarwick - That's What Friends Are For,Dionnewarwick,That's What Friends Are For,,,"Dionne Warwick, Elton John, Gladys Knight, Stevie Wonder",dionnewarwick/thats-what-friends-are-for; dionne-warwick/thats-what-friends-are-for; elton-john/thats-what-friends-are-for; gladys-knight/thats-what-friends-are-for; stevie-wonder/thats-what-friends-are-for
6c60dd74-6d37-4df8-98f7-b0fbbf5a4099,DISPATCH - Live & Let Go,DISPATCH,Live & Let Go,dispatch,live-let-go,"Quinn XCII, DISPATCH",dispatch/live-let-go; quinn-xcii/live-let-go
926a425c-d848-4177-a6b7-5995aef862cd,Doechii - Runway,Doechii,Runway,doechii,runway-2,"Lady Gaga, Doechii",doechii/runway-2; lady-gaga/runway-2
14ab2562-b059-4847-b4e7-3887e2a35715,Dragonforce - Gluz - Burning Heart,Dragonforce,Gluz - Burning Heart,,,"DragonForce, Alissa White-Gluz",dragonforce/gluz-burning-heart; alissa-white-gluz/gluz-burning-heart
0daa9d8d-ce46-48e7-9986-08d92cbd22e6,Ed Sheeran - The Joker And The Queen,Ed Sheeran,The Joker And The Queen,ed-sheeran,the-joker-and-the-queen,"エド・シーラン, テイラー・スウィフト",ed-sheeran/the-joker-and-the-queen
b8001ab1-1a29-432f-b6e0-decfcb8262b5,Ekko City - Move On,Ekko City,Move On,ekko-city,move-on,"EkkoCity,Movada,Mokita",ekko-city/move-on; ekkocity/move-on
0c77a900-3a6e-47ff-9296-1815bba3ec18,Elderbrook - When I Talk,Elderbrook,When I Talk,elderbrook,when-i-talk,"deadmau5,Kaskade,Kx5",elderbrook/when-i-talk; deadmau5/when-i-talk
7ec823c3-a49b-461d-a9c9-05b3777b0226,Electric Callboy - Spaceman,Electric Callboy,Spaceman,electric-callboy,spaceman,"ElectricCallboy,FiNCH",electric-callboy/spaceman; electriccallboy/spaceman
8092d825-c3ee-44cf-a3b0-ad8e1c9e0fdc,Eminem - No Shady,Eminem,No Shady,eminem,no-shady,"Eminem, Lil Wayne",eminem/no-shady; lil-wayne/no-shady
45f54f1b-4722-4df0-a09c-965a31e1dde3,Eric Clapton - It's Probably Me,Eric Clapton,It's Probably Me,eric-clapton,its-probably-me,"スティング, エリック・クラプトン",eric-clapton/its-probably-me
9c0bc927-f253-4a0e-8ee3-7590e4f898d3,Fear Factory - Disobey - Disruptor Remix,Fear Factory,Disobey - Disruptor Remix,fear-factory,disobey-disruptor-remix,"FearFactory,Zardonic",fear-factory/disobey-disruptor-remix; fearfactory/disobey-disruptor-remix
9e00a1ff-117b-463f-b6e1-29547e9550f9,Foo Fighters - The Glass,Foo Fighters,The Glass,foo-fighters,the-glass,"H.E.R., Foo Fighters",foo-fighters/the-glass; h-e-r/the-glass
